batch=41 样本数=2

████ 第 0 步区:以下为本批全部 [CODE](先独立重解,勿看后文)████

### id=7313 lang=python
[CODE]
   1| APP_NAME = 'LXDUI'
   2| APP_CLI_CMD = 'lxdui'
   3| VERSION = '2.2'
   4| GIT_URL = 'https://github.com/AdaptiveScale/lxdui.git'
   5| LXD_URL = 'http://localhost:8443'
   6| LICENSE = 'Apache 2.0'
   7| AUTHOR = 'AdaptiveScale, Inc.'
   8| AUTHOR_URL = 'http://www.adaptivescale.com'
   9| AUTHOR_EMAIL = 'info@adaptivescale.com'
  10| KEYWORDS = 'lxc lxc-containers lxd'
  11| IMAGE_HUB = 'http://hub.kuti.io'
  12| 
  13| '''
  14| 
  15| The following section is for the default configuration
  16| that will be written to the lxdui.conf file if the file
  17| does not already exist.
  18| 
  19| '''
  20| AUTO_LOAD_CONFIG = True
  21| DEFAULT_CONFIG_FORMAT = 'ini'
  22| __default_config__ = """
  23| [LXDUI]
  24| lxdui.host = 0.0.0.0
  25| lxdui.port = 15151
  26| lxdui.images.remote = https://images.linuxcontainers.org
  27| #lxdui.lxd.remote = https://lxd.host.org:8443/
  28| #lxdui.lxd.sslverify = true
  29| #lxdui.lxd.remote.name = host
  30| lxdui.jwt.token.expiration = 1200
  31| lxdui.jwt.secret.key = AC8d83&21Almnis710sds
  32| lxdui.admin.user = admin
  33| lxdui.conf.dir = {{app_root}}/conf
  34| lxdui.conf.file = ${lxdui.conf.dir}/lxdui.conf
  35| lxdui.auth.conf = ${lxdui.conf.dir}/auth.conf
  36| lxdui.ssl.cert = ${lxdui.conf.dir}/client.crt
  37| lxdui.ssl.key = ${lxdui.conf.dir}/client.key
  38| lxdui.log.dir =  {{app_root}}/logs
  39| lxdui.log.file = ${lxdui.log.dir}/lxdui.log
  40| lxdui.log.conf = ${lxdui.conf.dir}/log.conf
  41| #lxdui.log.rotate = true
  42| #lxdui.log.max = 10M
  43| #lxdui.log.keep.generations = 5
  44| lxdui.profiles = ${lxdui.conf.dir}/profiles
  45| lxdui.zfs.pool.name = lxdpool
  46| lxdui.app.alias = LXDUI
  47| lxdui.cli = cli
  48| 
  49| [LXDUI_CERT]
  50| lxdui.cert.country = US
  51| lxdui.cert.state = Texas
  52| lxdui.cert.locale = Dallas
  53| lxdui.cert.org = AdaptiveScale, Inc.
  54| lxdui.cert.ou = OU=AdaptiveScale, DN=com
  55| 
  56| [LXD]
  57| lxd.bridge.enabled = true
  58| lxd.bridge.name = lxdbr0
  59| lxd.dns.conf.file = 
  60| lxd.dns.domain = lxd
  61| lxd.ipv4.addr = 10.5.5.1
  62| lxd.ipv4.netmask = 255.255.255.0
  63| lxd.ipv4.network = 10.5.5.0/24
  64| lxd.ipv4.dhcp.range = 253
  65| lxd.ipv4.dhcp.max = 10.5.5.2,10.5.5.254
  66| lxd.ipv4.nat = true
  67| lxd.ipv6.addr = 2001:470:b368:4242::1
  68| lxd.ipv6.mask = 255.255.255.0
  69| lxd.ipv6.network = 2001:470:b368:4242::/64
  70| lxd.ipv6.nat = false
  71| lxd.ipv6.proxy = false
  72| """
  73| 
  74| 
  75| 

### id=7314 lang=python
[CODE]
   1| APP_NAME = 'LXDUI'
   2| APP_CLI_CMD = 'lxdui'
   3| VERSION = '2.2'
